entity_name,defined_on,name,comments,type_dmkr,type_impl,array_dmkr,array_impl,required_dmkr,required_impl,description_dmkr,description_impl,extra_impl
AIoDEntry,AIoDEntry,body,IMPL doesn’t have a “body”. It has .content for some resources (e.g. EducationalResource). This has been discussed with Antonis and Alexandros Tzoumas.,Object,,False,,False,,The main body of the AIoD entry for a resource,,
AIoDEntry,AIoDEntry,date_modified,"It’s listed as string for IMPL, because it’s an ISO formatted datetime string. So all fine here (except for the description mismatch)",Datetime,string,False,False,False,False,Last datetime that the metadata of this resource was updated.,"The datetime on which the metadata was last updated in the AIoD platform,in UTC.  Note the difference between `.aiod_entry.date_created` and `.date_published`: the former is automatically set to the datetime the resource was created on AIoD, while the latter can optionally be set to an earlier datetime that the resource was published on an external platform.","format: date-time, example: 2023-01-01T15:15:00.000"
AIoDEntry,AIoDEntry,editor,,Person,integer,False,True,False,False,The person responsible for creating and maintaining the entry.,Links to identifiers of persons responsible for maintaining the entry.,"items: {'type': 'integer'}, example: []"
AIoDEntry,AIoDEntry,entry_created,,Datetime,,False,,False,,The datetime on which this resource was first added to the AIoD platform.,,
AIoDEntry,AIoDEntry,entry_published,,Datetime,,False,,False,,The datetime on which this resource was first published on any platform - not necessarily on AIoD.,,
AIoDEntry,AIoDEntry,platform_identifier,,String,,True,,False,,The identifier used to denote this asset in its originating platform.,,
AIoDEntry,AIoDEntry,status,"We made status non-required in IMPL, for the Search Router: the Search router returns a partly-filled Dataset (for instance). Only the indexed fields are returned. Status is not indexed (it should be, probably). To avoid returning a wrong status, we made status non-required. I don’t like this solution, now I think of it. It’s probably better to index the status, and to make status required, while including a default. We already have a default on IMPL (see extra column)",String,string,False,False,True,False,"Status of the entry (published, draft, rejected)","Status of the entry (published, draft, rejected)","default: draft, example: published"
AIoDEntry,,date_created,TODO: add in DMKR,,string,,False,,False,,"The datetime on which the metadata was first published on the AIoD platform, in UTC.","format: date-time, example: 2022-01-01T15:15:00.000"
Address,,address,TODO: add in DMKR (Note that IMPL has Location.Address and Location.Geo),,string,,False,,False,,"Free text, in case the separate parts such as the street, postal code and country cannot be confidently separated.","maxLength: 256, example: Wetstraat 170, 1040 Brussel"
Address,,country,TODO: add in DMKR,,string,,False,,False,,The country as ISO 3166-1 alpha-3,"maxLength: 3, minLength: 3, example: BEL"
Address,,locality,TODO: add in DMKR,,string,,False,,False,,"A city, town or village.","maxLength: 256, example: Paris"
Address,,postal_code,TODO: add in DMKR,,string,,False,,False,,The postal code.,"maxLength: 64, example: 1040 AA"
Address,,region,TODO: add in DMKR,,string,,False,,False,,A subdivision of the country. Not necessary for most countries. ,"maxLength: 256, example: California"
Address,,street,TODO: add in DMKR,,string,,False,,False,,The street address.,"maxLength: 256, example: Wetstraat 170"
CaseStudy,,alternate_name,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,string,,True,,False,,"An alias for the item, commonly used for the resource instead of the name.","items: {'type': 'string'}, example: ['alias 1', 'alias 2']"
CaseStudy,,citation,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,True,,False,,A bibliographic reference.,"items: {'type': 'integer'}, example: []"
CaseStudy,,contact,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,True,,False,,Contact information of persons/organisations that can be contacted about this resource.,"items: {'type': 'integer'}, example: []"
CaseStudy,,creator,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,True,,False,,Contact information of persons/organisations that created this resource.,"items: {'type': 'integer'}, example: []"
CaseStudy,,date_published,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,string,,False,,False,,"The datetime (utc) on which this resource was first published on an external platform. Note the difference between `.aiod_entry.date_created` and `.date_published`: the former is automatically set to the datetime the resource was created on AIoD, while the latter can optionally be set to an earlier datetime that the resource was published on an external platform.","format: date-time, example: 2022-01-01T15:15:00.000"
CaseStudy,,description,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,#/components/schemas/Text,,True,,False,,,allOf: [{'$ref': '#/components/schemas/Text'}]
CaseStudy,,distribution,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,#/components/schemas/Distribution,,True,,False,,,"items: {'$ref': '#/components/schemas/Distribution'}, example: []"
CaseStudy,,has_part,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,True,,False,,,"items: {'type': 'integer'}, example: []"
CaseStudy,,identifier,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,False,,True,,,
CaseStudy,,industrial_sector,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,string,,True,,False,,A business domain where a resource is or can be used.,"items: {'type': 'string'}, example: ['Finance', 'eCommerce', 'Healthcare']"
CaseStudy,,is_part_of,"TODO: add in DMKR (these are all abstract fields, so CaseStudy has no fields of it’s own)",,integer,,True,,False,,,"items: {'type': 'integer'}, example: []"
